Documento;Fecha;Doc.-nro. interno;Establecimiento;Labor;Descripción;Fechaejecucion
Orden de Trabajo;2025-06-18;OT - 3390;LOS SOLES;Siembra De Grano Fino Con Fertilización;;2025-06-18
Orden de Trabajo;2025-01-05;OT - 3114;LOS SOLES;Pulverización Terrestre;;2025-01-05
Orden de Trabajo;2025-05-01;OT - 3378;MANIPURA;Pulverización Terrestre;;2025-05-20
Orden de Trabajo;2025-05-01;OT - 3379;MANIPURA;Doble Accion (superficie);;2025-05-20
Orden de Trabajo;2025-06-12;OT - 3384;MANIPURA;Desmalezado Algodón;;2025-06-12
Orden de Trabajo;2025-06-11;OT - 3387;MANIPURA;Pulverización Terrestre;;2025-06-11
Orden de Trabajo;2025-06-20;OT - 3396;MANIPURA;Siembra De Grano Fino Sin Fertilización;;2025-06-20
Orden de Trabajo;2025-07-20;OT - 3397;MANIPURA;Pulverización Terrestre;;2025-07-22
Orden de Trabajo;2024-11-23;OT - 2912;POCHO;Pulverización Terrestre;;2024-11-23
Orden de Trabajo;2024-11-23;OT - 2913;POCHO;Pulverización Terrestre;;2024-11-23
Orden de Trabajo;2024-11-23;OT - 2914;POCHO;Pulverización Terrestre;;2024-11-23
Orden de Trabajo;2024-11-23;OT - 2915;POCHO;Pulverización Terrestre;;2024-11-23
Orden de Trabajo;2024-11-25;OT - 2931;POCHO;Pulverización Terrestre;;2024-11-25
Orden de Trabajo;2024-11-25;OT - 2937;POCHO;Pulverización Terrestre;LOTE DE 135 HAS DEL GALPON;2024-11-25
Orden de Trabajo;2024-11-26;OT - 2938;POCHO;Siembra De Grano Grueso Sin Fertilización;DENSIDAD DE SIEMBRA 52.000 SEM/HA;2024-11-26
Orden de Trabajo;2024-11-28;OT - 2939;POCHO;Pulverización Terrestre;REPASOS SOBRE FALLAS DE APLICACIÓN /// AJUSTAR SUPERFICIE FINAL;2024-11-28
Orden de Trabajo;2024-12-04;OT - 2966;POCHO;Siembra De Grano Grueso Sin Fertilización;DENSIDAD DE SIEMBRA 52.000 SEM/HA;2024-12-04
Orden de Trabajo;2024-12-04;OT - 2973;POCHO;Siembra De Grano Grueso Sin Fertilización;DENSIDAD DE SIEMBRA 52.000 SEM/HA;2024-12-04
Orden de Trabajo;2024-12-04;OT - 2979;POCHO;Siembra De Grano Grueso Sin Fertilización;DENSIDAD DE SIEMBRA 52.000 SEM/HA;2024-12-04
Orden de Trabajo;2024-12-07;OT - 3000;POCHO;Pulverización Terrestre;LOTE DEL DESMONTE /// AJUSTAR SUPERFICIE FINAL APLICADA;2024-12-07
Orden de Trabajo;2024-12-04;OT - 3001;POCHO;Pulverización Terrestre;LOTE GRANDE + LOTE DEL TANQUE;2024-12-04
Orden de Trabajo;2024-12-10;OT - 3002;POCHO;Pulverización Terrestre;LOTE DESMONTE;2024-12-10
Orden de Trabajo;2024-12-10;OT - 3003;POCHO;Pulverización Terrestre;;2024-12-10
Orden de Trabajo;2024-12-10;OT - 3004;POCHO;Siembra De Grano Grueso Sin Fertilización;DENSIDAD DE SIEMBRA 52.000 SEM/HA /// LOTE DEL DESMONTE;2024-12-10
Orden de Trabajo;2024-12-10;OT - 3005;POCHO;Siembra De Grano Grueso Sin Fertilización;DENSIDAD DE SIEMBRA 52.000 SEM/HA /// LOTE AL LADO DEL MOLINO;2024-12-10
Orden de Trabajo;2024-12-12;OT - 3014;POCHO;Siembra De Grano Grueso Sin Fertilización;DENSIDAD DE SIEMBRA 52.000 SEM/HA;2024-12-12
Orden de Trabajo;2024-12-12;OT - 3015;POCHO;Siembra De Grano Grueso Sin Fertilización;;2024-12-12
Orden de Trabajo;2024-12-12;OT - 3016;POCHO;Siembra De Grano Grueso Sin Fertilización;;2024-12-12
Orden de Trabajo;2024-12-27;OT - 3081;POCHO;Pulverización Terrestre;;2024-12-27
Orden de Trabajo;2025-01-11;OT - 3142;POCHO;Pulverización Terrestre;LOTE DEL GALPON;2025-01-11
Orden de Trabajo;2025-01-11;OT - 3143;POCHO;Pulverización Terrestre;LOTE GRANDE;2025-01-11
Orden de Trabajo;2024-11-12;OT - 3164;POCHO;Pulverización Terrestre;SUPERFICIE REALIZADA POR RODRIGO BUJAN /// DESCONTAR REPASO + INSUMOS POR 75HAS;2024-11-17
Orden de Trabajo;2025-01-21;OT - 3184;POCHO;Pulverización Terrestre;;2025-01-21
Orden de Trabajo;2025-01-21;OT - 3185;POCHO;Pulverización Terrestre;LOTE DEL DESMONTE;2025-01-21
Orden de Trabajo;2025-01-21;OT - 3186;POCHO;Pulverización Terrestre;LOTE DEL OTRO LADO DEL TANQUE;2025-01-21
Orden de Trabajo;2025-01-24;OT - 3202;POCHO;Cobertura por Voleo;;2025-01-24
Orden de Trabajo;2025-01-24;OT - 3203;POCHO;Cobertura por Voleo;;2025-01-24
Orden de Trabajo;2025-02-03;OT - 3241;POCHO;Pulverización Aerea;;2025-02-03
Orden de Trabajo;2025-02-03;OT - 3242;POCHO;Pulverización Aerea;;2025-02-03
Orden de Trabajo;2025-04-17;OT - 3350;POCHO;Pulverización Aerea;;2025-04-17
Orden de Trabajo;2025-08-02;OT - 3402;POCHO;Rolo;;2025-08-21
Orden de Trabajo;2025-08-02;OT - 3403;POCHO;Rolo;;2025-08-21
Orden de Trabajo de Cosecha;2025-06-16;OTCOS - 568;CLEVELAND - INTI;Cosecha Algodón;;2025-06-16
Orden de Trabajo de Cosecha;2025-06-16;OTCOS - 569;CLEVELAND - INTI;Cosecha Algodón;;2025-06-16
Orden de Trabajo de Cosecha;2025-06-16;OTCOS - 570;CLEVELAND - INTI;Cosecha Algodón;;2025-06-16
Orden de Trabajo de Cosecha;2024-11-16;OTCOS - 518;EST. GUTEMBERG-INTI;Cosecha Fina;;2024-11-16
Orden de Trabajo de Cosecha;2024-11-16;OTCOS - 519;EST. GUTEMBERG-INTI;Cosecha Fina;;2024-11-16
Orden de Trabajo de Cosecha;2024-11-16;OTCOS - 520;EST. GUTEMBERG-INTI;Cosecha Fina;;2024-11-16
Orden de Trabajo de Cosecha;2024-12-02;OTCOS - 521;EST. GUTEMBERG-INTI;Cosecha Fina;;2024-12-02
Orden de Trabajo de Cosecha;2024-12-02;OTCOS - 522;EST. GUTEMBERG-INTI;Cosecha Fina;;2024-12-02
Orden de Trabajo de Cosecha;2025-05-12;OTCOS - 546;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-12
Orden de Trabajo de Cosecha;2025-05-12;OTCOS - 547;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-12
Orden de Trabajo de Cosecha;2025-05-12;OTCOS - 548;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-12
Orden de Trabajo de Cosecha;2025-05-24;OTCOS - 549;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-24
Orden de Trabajo de Cosecha;2025-05-24;OTCOS - 550;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-24
Orden de Trabajo de Cosecha;2025-05-24;OTCOS - 551;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-24
Orden de Trabajo de Cosecha;2025-05-24;OTCOS - 552;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-24
Orden de Trabajo de Cosecha;2025-05-24;OTCOS - 553;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-24
Orden de Trabajo de Cosecha;2025-05-24;OTCOS - 554;EST. GUTEMBERG-INTI;Cosecha Gruesa Soja ;;2025-05-24
Orden de Trabajo de Cosecha;2025-04-02;OTCOS - 531;ISLETA LINDA - INTI;Cosecha Gruesa;;2025-04-02
Orden de Trabajo de Cosecha;2025-04-10;OTCOS - 541;ISLETA LINDA - INTI;Cosecha Gruesa;;2025-04-17
Orden de Trabajo de Cosecha;2025-08-11;OTCOS - 587;IZQUIERDO SRL-INTI;Cosecha Gruesa Maíz ;;2025-08-11
Orden de Trabajo de Cosecha;2025-08-11;OTCOS - 588;IZQUIERDO SRL-INTI;Cosecha Gruesa Maíz ;;2025-08-11
Orden de Trabajo de Cosecha;2025-08-11;OTCOS - 589;IZQUIERDO SRL-INTI;Cosecha Gruesa Maíz ;;2025-08-11
Orden de Trabajo de Cosecha;2025-08-11;OTCOS - 590;IZQUIERDO SRL-INTI;Cosecha Gruesa Maíz ;;2025-08-11
Orden de Trabajo de Cosecha;2025-03-09;OTCOS - 524;La Dulce-INTI;Cosecha Gruesa;;2025-03-09
Orden de Trabajo de Cosecha;2025-03-09;OTCOS - 525;La Dulce-INTI;Cosecha Gruesa;;2025-03-09
Orden de Trabajo de Cosecha;2020-03-09;OTCOS - 84;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-03-09;OTCOS - 88;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-03-30;OTCOS - 90;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-04-01;OTCOS - 108;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-04-20;OTCOS - 109;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-04-20;OTCOS - 115;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-01;OTCOS - 116;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-01;OTCOS - 117;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-05;OTCOS - 119;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-03;OTCOS - 120;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-10;OTCOS - 130;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-10;OTCOS - 131;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-10;OTCOS - 132;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-10;OTCOS - 147;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-10;OTCOS - 148;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-05-10;OTCOS - 149;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-06-20;OTCOS - 157;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-06-20;OTCOS - 158;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-06-20;OTCOS - 159;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-06-20;OTCOS - 160;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2020-07-01;OTCOS - 161;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-03-30;OTCOS - 170;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-03-30;OTCOS - 174;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-03-30;OTCOS - 175;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-03-30;OTCOS - 176;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-03-30;OTCOS - 177;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-03-30;OTCOS - 186;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-05-01;OTCOS - 195;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-05-01;OTCOS - 196;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-05-01;OTCOS - 197;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-05-01;OTCOS - 198;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-05-01;OTCOS - 205;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-05-15;OTCOS - 214;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-05-15;OTCOS - 215;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-05-15;OTCOS - 216;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-01;OTCOS - 230;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-01;OTCOS - 231;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-15;OTCOS - 241;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-15;OTCOS - 242;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-20;OTCOS - 243;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-20;OTCOS - 244;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-20;OTCOS - 245;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-20;OTCOS - 246;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-20;OTCOS - 247;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-20;OTCOS - 248;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-20;OTCOS - 249;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-07-20;OTCOS - 250;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2021-08-01;OTCOS - 252;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-03-11;OTCOS - 257;LA GAMA;Cosecha Gruesa;GIRASOL INDUSTRIA;
Orden de Trabajo de Cosecha;2022-03-11;OTCOS - 258;LA GAMA;Cosecha Gruesa;GIRASOL INDUSTRIA (menos sector 40 has);
Orden de Trabajo de Cosecha;2022-03-15;OTCOS - 270;LA GAMA;Cosecha Gruesa;gir industria;
Orden de Trabajo de Cosecha;2022-03-15;OTCOS - 271;LA GAMA;Cosecha Gruesa;gir industria alto oleico;
Orden de Trabajo de Cosecha;2022-03-15;OTCOS - 282;LA GAMA;Cosecha Gruesa;girasol alto oleico ;
Orden de Trabajo de Cosecha;2022-03-15;OTCOS - 283;LA GAMA;Cosecha Gruesa;girasol alto oleico;
Orden de Trabajo de Cosecha;2022-03-15;OTCOS - 284;LA GAMA;Cosecha Gruesa;girasol alto oleico;
Orden de Trabajo de Cosecha;2022-03-15;OTCOS - 285;LA GAMA;Cosecha Gruesa;girasol alto oleico;
Orden de Trabajo de Cosecha;2022-03-15;OTCOS - 286;LA GAMA;Cosecha Gruesa;girasol alto oleico;
Orden de Trabajo de Cosecha;2022-04-13;OTCOS - 287;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-04-13;OTCOS - 288;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-04-20;OTCOS - 291;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-05-04;OTCOS - 292;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-05-04;OTCOS - 298;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-05-04;OTCOS - 299;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-05-04;OTCOS - 300;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-05-04;OTCOS - 301;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-05-04;OTCOS - 302;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-05-04;OTCOS - 303;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-07-01;OTCOS - 328;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-07-01;OTCOS - 329;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-07-01;OTCOS - 330;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-07-01;OTCOS - 331;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2022-07-01;OTCOS - 332;LA GAMA;Cosecha Gruesa;;
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 343;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 344;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 345;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 346;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 347;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 364;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 365;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 367;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 369;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-03-10;OTCOS - 370;LA GAMA;Cosecha Gruesa;;2023-03-20
Orden de Trabajo de Cosecha;2023-05-10;OTCOS - 383;LA GAMA;Cosecha Gruesa;;2023-06-21
Orden de Trabajo de Cosecha;2023-05-10;OTCOS - 384;LA GAMA;Cosecha Gruesa;;2023-06-21
Orden de Trabajo de Cosecha;2023-05-10;OTCOS - 385;LA GAMA;Cosecha Gruesa;;2023-06-21
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 410;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 411;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 412;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 413;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 414;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 415;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 416;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 417;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 418;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 419;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 420;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-07-01;OTCOS - 421;LA GAMA;Cosecha Gruesa;;2023-08-09
Orden de Trabajo de Cosecha;2023-05-10;OTCOS - 426;LA GAMA;Cosecha Gruesa;;2023-06-21
Orden de Trabajo de Cosecha;2024-03-17;OTCOS - 433;LA GAMA;Cosecha Gruesa;;2024-03-17
Orden de Trabajo de Cosecha;2024-03-20;OTCOS - 434;LA GAMA;Cosecha Gruesa;;2024-03-20
Orden de Trabajo de Cosecha;2024-03-20;OTCOS - 435;LA GAMA;Cosecha Gruesa;;2024-03-20
Orden de Trabajo de Cosecha;2024-03-22;OTCOS - 436;LA GAMA;Cosecha Gruesa;;2024-03-22
Orden de Trabajo de Cosecha;2024-03-25;OTCOS - 438;LA GAMA;Cosecha Gruesa;;2024-03-25
Orden de Trabajo de Cosecha;2024-04-05;OTCOS - 446;LA GAMA;Cosecha Gruesa;;2024-04-05
Orden de Trabajo de Cosecha;2024-04-21;OTCOS - 452;LA GAMA;Cosecha Gruesa Soja ;;2024-04-21
Orden de Trabajo de Cosecha;2024-04-29;OTCOS - 453;LA GAMA;Cosecha Gruesa Soja ;;2024-04-29
Orden de Trabajo de Cosecha;2024-04-29;OTCOS - 454;LA GAMA;Cosecha Gruesa Soja ;;2024-04-29
Orden de Trabajo de Cosecha;2024-04-29;OTCOS - 455;LA GAMA;Cosecha Gruesa Soja ;;2024-04-29
Orden de Trabajo de Cosecha;2024-04-29;OTCOS - 456;LA GAMA;Cosecha Gruesa Soja ;;2024-04-29
Orden de Trabajo de Cosecha;2024-05-04;OTCOS - 457;LA GAMA;Cosecha Gruesa Soja ;LOTE 9W;2024-05-04
Orden de Trabajo de Cosecha;2024-05-04;OTCOS - 458;LA GAMA;Cosecha Gruesa Soja ;;2024-05-04
Orden de Trabajo de Cosecha;2024-05-14;OTCOS - 465;LA GAMA;Cosecha Gruesa Soja ;LOTE 9E;2024-05-14
Orden de Trabajo de Cosecha;2024-05-16;OTCOS - 466;LA GAMA;Cosecha Gruesa Soja ;;2024-05-16
Orden de Trabajo de Cosecha;2024-05-24;OTCOS - 467;LA GAMA;Cosecha Gruesa Soja ;;2024-05-24
Orden de Trabajo de Cosecha;2024-06-04;OTCOS - 471;LA GAMA;Cosecha Gruesa Maíz ;;2024-06-04
Orden de Trabajo de Cosecha;2024-06-10;OTCOS - 472;LA GAMA;Cosecha Gruesa Maíz ;;2024-06-10
Orden de Trabajo de Cosecha;2024-06-22;OTCOS - 474;LA GAMA;Cosecha Gruesa Maíz ;;2024-06-22
Orden de Trabajo de Cosecha;2024-06-25;OTCOS - 475;LA GAMA;Cosecha Gruesa Maíz ;;2024-06-25
Orden de Trabajo de Cosecha;2024-06-29;OTCOS - 476;LA GAMA;Cosecha Gruesa Maíz ;;2024-06-29
Orden de Trabajo de Cosecha;2024-07-03;OTCOS - 477;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-03
Orden de Trabajo de Cosecha;2024-07-11;OTCOS - 484;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-11
Orden de Trabajo de Cosecha;2024-07-11;OTCOS - 485;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-11
Orden de Trabajo de Cosecha;2024-07-11;OTCOS - 486;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-11
Orden de Trabajo de Cosecha;2024-07-15;OTCOS - 488;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-15
Orden de Trabajo de Cosecha;2024-07-15;OTCOS - 489;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-15
Orden de Trabajo de Cosecha;2024-07-19;OTCOS - 490;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-19
Orden de Trabajo de Cosecha;2024-07-20;OTCOS - 493;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-20
Orden de Trabajo de Cosecha;2024-07-20;OTCOS - 494;LA GAMA;Cosecha Gruesa Maíz ;;2024-07-20
Orden de Trabajo de Cosecha;2025-03-09;OTCOS - 526;LA GAMA;Cosecha Gruesa;;2025-03-09
Orden de Trabajo de Cosecha;2025-03-09;OTCOS - 527;LA GAMA;Cosecha Gruesa;;2025-03-09
Orden de Trabajo de Cosecha;2025-03-15;OTCOS - 528;LA GAMA;Cosecha Gruesa;;2025-03-15
Orden de Trabajo de Cosecha;2025-03-15;OTCOS - 529;LA GAMA;Cosecha Gruesa;;2025-03-15
Orden de Trabajo de Cosecha;2025-04-02;OTCOS - 532;LA GAMA;Cosecha Gruesa;;2025-04-02
Orden de Trabajo de Cosecha;2025-04-02;OTCOS - 533;LA GAMA;Cosecha Gruesa;;2025-04-02
Orden de Trabajo de Cosecha;2025-04-02;OTCOS - 534;LA GAMA;Cosecha Gruesa;;2025-04-02
Orden de Trabajo de Cosecha;2025-04-02;OTCOS - 535;LA GAMA;Cosecha Gruesa;;2025-04-02
Orden de Trabajo de Cosecha;2025-04-02;OTCOS - 536;LA GAMA;Cosecha Gruesa;;2025-04-02
Orden de Trabajo de Cosecha;2025-04-02;OTCOS - 537;LA GAMA;Cosecha Gruesa;;2025-04-02
Orden de Trabajo de Cosecha;2025-04-02;OTCOS - 538;LA GAMA;Cosecha Gruesa;;2025-04-02
Orden de Trabajo de Cosecha;2025-04-07;OTCOS - 539;LA GAMA;Cosecha Gruesa;;2025-04-07
Orden de Trabajo de Cosecha;2025-04-07;OTCOS - 540;LA GAMA;Cosecha Gruesa;;2025-04-07
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 560;LA GAMA;Cosecha Gruesa Maíz ;;2025-05-26
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 561;LA GAMA;Cosecha Gruesa Maíz ;;2025-05-26
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 562;LA GAMA;Cosecha Gruesa Maíz ;;2025-05-26
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 563;LA GAMA;Cosecha Gruesa Maíz ;;2025-05-26
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 564;LA GAMA;Cosecha Gruesa Maíz ;;2025-05-26
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 565;LA GAMA;Cosecha Gruesa Maíz ;;2025-05-26
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 566;LA GAMA;Cosecha Gruesa Maíz ;;2025-05-26
Orden de Trabajo de Cosecha;2025-06-30;OTCOS - 576;LA GAMA;Cosecha Gruesa Maíz ;;2025-07-10
Orden de Trabajo de Cosecha;2025-06-30;OTCOS - 577;LA GAMA;Cosecha Gruesa Maíz ;;2025-07-10
Orden de Trabajo de Cosecha;2025-06-30;OTCOS - 578;LA GAMA;Cosecha Gruesa Maíz ;;2025-07-10
Orden de Trabajo de Cosecha;2025-06-30;OTCOS - 579;LA GAMA;Cosecha Gruesa Maíz ;;2025-07-10
Orden de Trabajo de Cosecha;2025-06-30;OTCOS - 584;LA GAMA;Cosecha Gruesa Maíz ;;2025-07-10
Orden de Trabajo de Cosecha;2025-03-15;OTCOS - 530;LA TUNA - INTI;Cosecha Gruesa;;2025-03-15
Orden de Trabajo de Cosecha;2025-05-10;OTCOS - 543;LOS RULOS - INTI;Cosecha Algodón;;2025-05-10
Orden de Trabajo de Cosecha;2025-05-10;OTCOS - 544;LOS RULOS - INTI;Cosecha Algodón;;2025-05-10
Orden de Trabajo de Cosecha;2025-05-10;OTCOS - 545;LOS RULOS - INTI;Cosecha Algodón;;2025-05-10
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 556;LOS RULOS - INTI;Cosecha Algodón;;2025-05-26
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 557;LOS RULOS - INTI;Cosecha Algodón;;2025-05-26
Orden de Trabajo de Cosecha;2025-05-26;OTCOS - 558;LOS RULOS - INTI;Cosecha Algodón;;2025-05-26
Orden de Trabajo de Cosecha;2025-06-05;OTCOS - 567;LOS RULOS - INTI;Cosecha Algodón;;2025-06-05
Orden de Trabajo de Cosecha;2025-06-23;OTCOS - 571;LOS RULOS - INTI;Cosecha Algodón;;2025-06-23
Orden de Trabajo de Cosecha;2025-06-23;OTCOS - 572;LOS RULOS - INTI;Cosecha Algodón;;2025-06-23
Orden de Trabajo de Cosecha;2025-06-23;OTCOS - 573;LOS RULOS - INTI;Cosecha Algodón;;2025-06-23
Orden de Trabajo de Cosecha;2025-06-23;OTCOS - 574;LOS RULOS - INTI;Cosecha Algodón;;2025-06-23
Orden de Trabajo de Cosecha;2025-06-23;OTCOS - 575;LOS RULOS - INTI;Cosecha Algodón;;2025-06-23
Orden de Trabajo de Cosecha;2025-06-30;OTCOS - 580;LOS RULOS - INTI;Cosecha Algodón;;2025-07-07
Orden de Trabajo de Cosecha;2025-06-30;OTCOS - 581;LOS RULOS - INTI;Cosecha Algodón;;2025-07-07
